feature,importance
demand_ma_7,43.26097721653729
day_of_week,11.464532176540885
demand_max_7,3.4145291787059646
demand_lag_7,3.3277369841504196
precipitation,3.170483156080954
day_of_year,2.9806964417600965
temp_x_weekend,2.7877340872176837
demand_min_7,2.050049322166705
day_of_year_cos,1.701714891285201
demand_lag_1,1.6858236482212012
demand_std_7,1.4682693619138
temp_diff,1.3831819271122403
precip_ma_7,1.0159852778903433
temp_ma_30,0.794575293432959
day_of_year_sin,0.685187946861106
temperature,0.5519820173650312
temp_diff_7,0.5398843510007835
temp_x_weekday,0.3726269153324209
day_of_week_sin,0.36836603071977675
hdd,0.33350985100620395
demand_lag_30,0.28916926121083447
demand_std_90,0.22936737669055815
precip_ma_30,0.2102917626378452
demand_ma_30,0.17973268312445478
demand_std_30,0.1427713800547232
week,0.12914440660499024
temp_ma_7,0.03580958969292694
day,0.01906464842917328
demand_max_30,0.015509983142715593
demand_min_30,0.014755953093381392
temp_x_month,0.0
is_rainy,0.0
day_of_week_cos,0.0
month_sin,0.0
is_weekend,0.0
cdd,0.0
quarter,0.0
month_cos,0.0
month,0.0
demand_ma_90,0.0
year,0.0
